Unnamed: 0,League,Team,Name,Age,Position,Market Value,Matches Played,Minutes,Matches Started,Goals Scored,Goals Scored (Per90),Goal Involvement,Goal Involvement (Per90),Goals at Home,Goals at Away,Expected Goals (xG),Expected Goals (xG) (Per90),Non-Penalty xG (npxG),Goals Conceded,Clean Sheets,Tackles,Tackles (Per90),Interceptions,Interceptions (Per90),Clearances,Clearances (Per90),Dribbled Past,Dribbled Past (Per90),Penalties Given Away,Penalties Given Away (Per90),Ground Duels,Ground Duels (Per90),Ground Duels Won,Ground Duels Won (Per90),Aerial Duels Won,Aerial Duels Won (Per90),Assists,Assists (Per90),Expected Assists (xA),Expected Assists (xA) (Per90),Passes,Passes (Per90),Successful Passes,Successful Passes (Per90),Pass Completion Rate,Key Passes,Key Passes (Per90),Crosses,Crosses (Per90),Successful Crosses,Successful Crosses (Per90),Cross Completion Rate,Dribbles,Dribbles (Per90),Successful Dribbles,Successful Dribbles (Per90),Dribble Success Rate,Dispossesed,Dispossesed (Per90),Offsides,Offsides (Per90),Yellow Cards,Red Cards,Total Cards,Total Cards (Per90),Cards Over 0.5,Cards Over 0.5 (Per90),Fouls Committed,Fouls Committed (Per90),Fouled Against,Fouled Against (Per90),Annual Salary,Saves,Saves (Per90),Save Percentage,Punches,Punches (Per90),Save Percentage_Pct,Interceptions (Per90)_Pct,Pass Completion Rate_Pct,Punches (Per90)_Pct,Successful Passes (Per90)_Pct,Saves (Per90)_Pct,Clearances (Per90)_Pct,Shot Stopper_Score,Sweeper Keeper_Score,Tactical_Role,Broad_Position
843,la-liga,Rayo Vallecano,Augusto Batalla,29,Goalkeeper,6000000.0,30,2700,30,0,0.0,0,0.0,0,0,0.0,0.0,0.0,30,9,1,0.03,0,0.0,19,0.63,3,0.1,0,0.0,20,0.67,15,0.5,6,0.2,0,0.0,1.63,0.05,1081,36.03,698,23.27,0.6456999999999999,2,0.07,0,0.0,0,0.0,0.0,5,0.17,4,0.13,0.8,0,0.0,0,0.0,4,0,4,0.13,4,0.13,0,0.0,4,0.13,2080000.0,83.0,2.77,0.7034,6.0,0.2,0.8313253012048193,0.26506024096385544,0.26506024096385544,0.08433734939759036,0.4457831325301205,0.7108433734939759,0.1566265060240964,54.21686746987952,28.313253012048197,Shot Stopper,Goalkeeper
844,la-liga,Rayo Vallecano,Dani Cárdenas,29,Goalkeeper,1800000.0,15,462,4,0,0.0,0,0.0,0,0,0.14,0.03,0.14,4,5,18,3.43,7,1.33,5,0.95,8,1.53,0,0.0,67,12.78,37,7.06,1,0.19,0,0.0,1.07,0.2,438,83.52,406,77.42,0.9269,9,1.72,3,0.57,0,0.0,0.0,14,2.67,3,0.57,0.2143,2,0.38,0,0.0,1,0,1,0.19,1,0.07,6,1.14,15,2.86,13025000.0,,,,,,0.5060240963855421,0.963855421686747,1.0,0.5060240963855421,1.0,0.5060240963855421,0.3614457831325301,50.602409638554214,83.13253012048193,Sweeper Keeper,Goalkeeper
870,la-liga,CA Osasuna,Sergio Herrera,32,Goalkeeper,3000000.0,31,2790,31,0,0.0,0,0.0,0,0,0.0,0.0,0.0,36,7,0,0.0,0,0.0,42,1.35,0,0.0,1,0.03,15,0.48,12,0.39,8,0.26,0,0.0,1.1,0.04,877,28.29,613,19.77,0.6990000000000001,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,3,0,3,0.1,3,0.1,2,0.06,4,0.13,2600000.0,103.0,3.32,0.7304999999999999,17.0,0.55,0.927710843373494,0.26506024096385544,0.43373493975903615,0.7771084337349398,0.26506024096385544,0.9036144578313253,0.6987951807228916,86.94779116465864,41.566265060240966,Shot Stopper,Goalkeeper
893,la-liga,RCD Mallorca,Leo Román,25,Goalkeeper,6000000.0,28,1427,16,0,0.0,0,0.0,0,0,0.49,0.03,0.49,20,7,36,2.27,13,0.82,62,3.91,7,0.44,0,0.0,118,7.44,68,4.29,24,1.51,0,0.0,1.54,0.1,847,53.38,735,46.32,0.8678,3,0.19,15,0.95,1,0.06,0.0667,7,0.44,3,0.19,0.4286,6,0.38,2,0.13,2,0,2,0.13,2,0.07,17,1.07,5,0.32,1300000.0,,,,,,0.5060240963855421,0.8795180722891566,0.8313253012048193,0.5060240963855421,0.8795180722891566,0.5060240963855421,0.9397590361445783,50.602409638554214,88.25301204819277,Sweeper Keeper,Goalkeeper
894,la-liga,RCD Mallorca,Lucas Bergström,23,Goalkeeper,1500000.0,5,450,5,0,0.0,0,0.0,0,0,0.0,0.0,0.0,6,2,0,0.0,0,0.0,16,3.2,1,0.2,0,0.0,6,1.2,5,1.0,5,1.0,0,0.0,0.15,0.03,145,29.0,78,15.6,0.5379,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0,1,0.2,1,0.2,0,0.0,1,0.2,400000.0,15.0,3.0,0.6818000000000001,9.0,1.8,0.7289156626506024,0.26506024096385544,0.0963855421686747,0.9879518072289156,0.12048192771084337,0.8132530120481928,0.9156626506024096,84.33734939759036,34.93975903614458,Shot Stopper,Goalkeeper
919,la-liga,Levante UD,Mathew Ryan,34,Goalkeeper,2000000.0,28,2520,28,0,0.0,0,0.0,0,0,0.14,0.01,0.14,40,5,2,0.07,2,0.07,35,1.25,1,0.04,0,0.0,19,0.68,18,0.64,14,0.5,0,0.0,1.53,0.05,903,32.25,626,22.36,0.6931999999999999,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,0,2,0.07,2,0.07,0,0.0,1,0.04,2075000.0,103.0,3.68,0.6959000000000001,10.0,0.36,0.7831325301204819,0.6445783132530121,0.42168674698795183,0.24096385542168675,0.37349397590361444,0.9759036144578314,0.536144578313253,66.66666666666666,49.39759036144578,Shot Stopper,Goalkeeper
920,la-liga,Levante UD,Pablo Campos,23,Goalkeeper,1500000.0,19,1248,13,1,0.07,3,0.22,1,0,1.92,0.14,1.92,17,4,15,1.08,16,1.15,18,1.3,10,0.72,0,0.0,107,7.72,45,3.25,9,0.65,2,0.14,2.51,0.18,436,31.47,331,23.89,0.7592,20,1.44,45,3.25,15,1.08,0.3333,29,2.09,13,0.94,0.4483,13,0.94,2,0.14,2,0,2,0.14,2,0.11,20,1.44,10,0.72,1040000.0,,,,,,0.5060240963855421,0.9397590361445783,0.5662650602409639,0.5060240963855421,0.4819277108433735,0.5060240963855421,0.6506024096385542,50.602409638554214,65.96385542168674,Sweeper Keeper,Goalkeeper
947,la-liga,Elche CF,Alejandro Iturbe,22,Goalkeeper,1500000.0,21,1149,14,1,0.08,5,0.39,1,0,2.49,0.2,2.49,16,6,15,1.17,4,0.31,5,0.39,7,0.55,0,0.0,96,7.52,43,3.37,3,0.23,4,0.31,4.06,0.32,416,32.58,366,28.67,0.8798,26,2.04,58,4.54,9,0.7,0.1552,26,2.04,7,0.55,0.2692,9,0.7,1,0.08,2,0,2,0.16,2,0.1,8,0.63,19,1.49,8294000.0,,,,,,0.5060240963855421,0.6746987951807228,0.8554216867469879,0.5060240963855421,0.6987951807228916,0.5060240963855421,0.08433734939759036,50.602409638554214,57.831325301204814,Sweeper Keeper,Goalkeeper
948,la-liga,Elche CF,Matías Dituro,38,Goalkeeper,200000.0,15,1350,15,0,0.0,0,0.0,0,0,0.0,0.0,0.0,19,3,0,0.0,1,0.07,19,1.27,4,0.27,0,0.0,18,1.2,14,0.93,9,0.6,0,0.0,1.29,0.09,854,56.93,644,42.93,0.7541,3,0.2,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0,1,0.07,1,0.07,1,0.07,6,0.4,620000.0,48.0,3.2,0.7164,6.0,0.4,0.8795180722891566,0.6445783132530121,0.5421686746987951,0.27710843373493976,0.8433734939759037,0.8795180722891566,0.5783132530120482,67.8714859437751,65.21084337349399,Shot Stopper,Goalkeeper
972,la-liga,Deportivo Alavés,Antonio Sivera,29,Goalkeeper,6000000.0,31,2790,31,1,0.03,1,0.03,0,1,0.0,0.0,0.0,37,3,1,0.03,0,0.0,39,1.26,1,0.03,1,0.03,13,0.42,10,0.32,8,0.26,0,0.0,0.92,0.03,813,26.23,408,13.16,0.5018,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,0,2,0.06,2,0.06,1,0.03,1,0.03,1560000.0,82.0,2.65,0.6406000000000001,17.0,0.55,0.1927710843373494,0.26506024096385544,0.07228915662650602,0.7771084337349398,0.07228915662650602,0.25301204819277107,0.5542168674698795,40.76305220883534,24.096385542168676,Shot Stopper,Goalkeeper
996,la-liga,Real Oviedo,Aarón Escandell,30,Goalkeeper,3000000.0,31,2790,31,0,0.0,0,0.0,0,0,0.0,0.0,0.0,42,9,0,0.0,0,0.0,43,1.39,1,0.03,0,0.0,16,0.52,15,0.48,5,0.16,0,0.0,1.57,0.05,1077,34.74,710,22.9,0.6592,1,0.03,0,0.0,0,0.0,0.0,2,0.06,2,0.06,1.0,0,0.0,0,0.0,2,0,2,0.06,2,0.06,1,0.03,8,0.26,1300000.0,132.0,4.26,0.7333,12.0,0.39,0.9457831325301205,0.26506024096385544,0.3132530120481928,0.26506024096385544,0.43373493975903615,1.0,0.7349397590361446,73.69477911646585,43.674698795180724,Shot Stopper,Goalkeeper
